PNU,JIBUN,BCHK,SGG_OID,COL_ADM_SE,F_SHIM,F_AREA,ADM_CD,F_YR,F_ZONE_NM,F_ZONE_NM2,TYPE,F_DISA_NM,F_AVR_HGT,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,INV_YR,layer,path,geometry
"1174010100103520012","352-12대","1","97914","11740","0.01","103.69","1174010100","2024","강동구 명일동 352-12","강동구 양재대로122가길 80","주택","7. 8.~7. 19. 호우","21.0587957","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[212700.8825610534,549567.2911631138],[212713.34352054392,549563.5943956146],[212709.891736746,549551.9994338264],[212695.4077839016,549556.292163616],[212698.2446055871,549565.8601318958],[212700.8825610534,549567.2911631138]]]}"
"1174010200101510001","151-1대","1","100052","11740","0.01","117.65","1174010200","2024","강동구 고덕동 151-1","강동구 고덕로79길 122","주택","7. 8.~7. 19. 호우","28.57059074","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[214677.28692907505,551392.8784510161],[214675.3451315472,551381.398512794],[214674.79918867245,551378.1585302663],[214662.21725037217,551380.6083055885],[214664.75099123307,551395.2772275015],[214677.28692907505,551392.8784510161]]]}"
"1174010200101670002","167-2대","1","98635","11740","0.01","88.56","1174010200","2024","강동구 고덕동 167-2","강동구 상일로25길 8-13","주택","7. 8.~7. 19. 호우","22.19813896","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[214946.6950316999,551375.8529739714],[214955.1049796138,551374.8831187353],[214958.584960477,551374.3331798473],[214954.66524711982,551358.6632434796],[214954.58525297287,551358.3432447806],[214944.8753181531,551359.1530801598],[214946.6950316999,551375.8529739714]]]}"
"1174010200102590004","259-4대","1","101035","11740","0.01","87.84","1174010200","2024","강동구 고덕동 259-4","강동구 아리수로74길 35-12","주택","7. 8.~7. 19. 호우","31.42788292","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[214257.27185664693,551298.4223851459],[214259.7018401173,551298.2324262222],[214262.1218246464,551297.9824676284],[214264.53181022944,551297.6725093615],[214266.52179920577,551297.3625442577],[214263.47310824244,551279.8786369055],[214254.7821355667,551282.5124740815],[214254.61187721574,551298.4783414142],[214257.27185664693,551298.4223851459]]]}"
"1174010500103200013","320-13대","1","104106","11740","0.01","85.26","1174010500","2024","강동구 길동 320-13","강동구 양재대로122가길 55","주택","7. 8.~7. 19. 호우","20.64363075","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[212658.9737310267,549454.5213993222],[212656.59488049024,549446.5014258956],[212638.7649384675,549451.7900932488],[212641.14478898287,549459.8110666844],[212658.9737310267,549454.5213993222]]]}"
"1174010700105130010","513-10대","1","127697","11740","0.01","30.15","1174010700","2024","강동구 암사동 513-10","강동구 상암로6길 40","주택","7. 8.~7. 19. 호우","16.7187841","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211154.8395052464,549908.6032765225],[211164.54747205213,549905.8144568552],[211162.30462102464,549897.7544860865],[211146.47467446793,549902.3441916981],[211148.59952649847,549910.4011605678],[211154.8395052464,549908.6032765225]]]}"
"1174010700104580008","458-8대","1","106632","11740","0.01","34.09","1174010700","2024","강동구 암사동 458-8","강동구 고덕로20길 14-14","주택","7. 8.~7. 19. 호우","27.34058548","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211768.1942035882,550545.5880488891],[211768.7741712894,550547.2880444621],[211779.03513803863,550544.2282360749],[211778.24419137358,550541.3382467671],[211775.64236682918,550531.8312819448],[211766.42339371605,550534.764108297],[211769.65419828365,550545.1880758648],[211768.1942035882,550545.5880488891]]]}"
"1174010700104490020","449-20대","1","108670","11740","0.01","111.95","1174010700","2024","강동구 암사동 449-20","강동구 아리수로 66","주택","7. 8.~7. 19. 호우","20.30203606","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[212108.13794353162,550823.327309429],[212120.29578275708,550827.1734756515],[212120.2780999189,550807.6616343074],[212120.26727742687,550796.741723084],[212108.13737423523,550796.8185253593],[212108.13794353162,550823.327309429]]]}"
"1174010700104250193","425-193대","1","111190","11740","0.01","68.88","1174010700","2024","강동구 암사동 425-193","강동구 구천면로57길 12-1","주택","7. 8.~7. 19. 호우","32.86276794","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[212169.90570507568,550130.1659574914],[212178.64771027883,550125.498137502],[212182.5675632052,550132.6031433486],[212192.55058000353,550126.6043543579],[212188.3767521308,550118.0833559101],[212178.00574605196,550123.6151424034],[212169.17074085254,550128.3289605085],[212169.90570507568,550130.1659574914]]]}"
"1174010800101740045","174-45대","1","113933","11740","0.01","61.07","1174010800","2024","강동구 성내동 174-45","강동구 천호대로168라길 4","주택","7. 8.~7. 19. 호우","17.60833717","20240717","20240717","1","24","내수침수","2024","FL_CHIMWL_강동구_0708_0719","D:/김원상/침수흔적도/2024_침수흔적도_최종/강동구_0708_0719/FL_CHIMWL_강동구_0708_0719.shp","{""type"":""Polygon"",""coordinates"":[[[211631.35684482398,548295.1351401694],[211632.38884206358,548294.79215971],[211630.3489630708,548288.3491789773],[211628.5760577779,548283.3941904836],[211619.58103776656,548289.0989981316],[211618.48903536424,548289.7899747909],[211621.31687161882,548298.474950085],[211631.35684482398,548295.1351401694]]]}"
